malaria-deaths-by-age
Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number),Deaths - Malaria - Sex: Both - Age: 70+ years (Number),Deaths - Malaria - Sex: Both - Age: 5-14 years (Number),Deaths - Malaria - Sex: Both - Age: 15-49 years (Number),Deaths - Malaria - Sex: Both - Age: 50-69 years (Number)
Afghanistan,AFG,1990,117.78782913477000,27.04327684238800,22.153216100342300,263.67760416753900,32.9504965038894
Afghanistan,AFG,1991,123.2191404520000,27.71838829337850,22.24005876566890,280.71616233767500,33.297864617367700
Afghanistan,AFG,1992,125.66350425755700,27.62841196015160,22.662288644891300,310.783497884391,34.976512893861700
Afghanistan,AFG,1993,155.20329476115700,28.200327871946600,25.96290857545910,420.91551090821400,45.37565371287040
Afghanistan,AFG,1994,198.95185425073000,30.05127362660380,28.826643621899600,475.15038414605800,49.46518356400820
Afghanistan,AFG,1995,212.3119751703690,30.396666336325200,30.40577358304270,492.3342298455200,49.596557989705600
Afghanistan,AFG,1996,238.93571638260400,32.28713497079520,32.21171749655960,530.5730240424040,52.40617607469000
Afghanistan,AFG,1997,233.6062702989810,32.665460708327000,33.870023010233200,542.0890563438920,52.49781508254510
Afghanistan,AFG,1998,246.2357990827060,34.513462344643800,37.77561343563080,571.5740081432960,54.78426184179400
Afghanistan,AFG,1999,242.03970216075600,35.087373876670000,40.991838588357700,581.1955798996160,54.38185192497660
Afghanistan,AFG,2000,238.65338436208900,35.43948817837620,43.091546368840800,559.0355542074090,48.61092368247120
Afghanistan,AFG,2001,230.6846999953670,35.489273910875100,46.50602769254670,590.0114017352980,49.71298085630220
Afghanistan,AFG,2002,216.36849231060300,36.28249928890590,49.67569189100930,600.1889686700110,48.8834255149995
Afghanistan,AFG,2003,271.062438070175,37.219657088735800,72.88901371472440,723.364214310953,55.90871867005280
Afghanistan,AFG,2004,278.60103708113800,35.361176223497400,78.22079519291150,685.6950287279900,51.45304924604180
Afghanistan,AFG,2005,274.2768462275820,35.11007584971640,78.79825744065730,707.6960507980620,52.20749549138320
Afghanistan,AFG,2006,268.547133574705,35.49551594821270,77.81479236977000,748.1996154981060,54.49595003742830
Afghanistan,AFG,2007,243.2409432857720,34.9927331989606,73.46504813933240,715.2945230351570,51.403260708945600
Afghanistan,AFG,2008,218.75686895886400,34.748924936027100,67.37688289131220,747.4724062615620,53.34303381689110
Afghanistan,AFG,2009,187.8306724346470,33.616032764645100,59.794526063082,763.6420707373020,54.117283415180100
